날짜,경상수지,원/미국달러(매매기준율),원/일본엔(100엔),원/유로,외환보유액,생산자물가지수,소비자물가지수,수출물가지수,수입물가지수,주택매매가격지수,주택전세가격지수,전산업경기지수,제조업경기지수,비제조업경기지수,국고채(3년),국고채(10년),"회사채(3년,AA-)",한국은행기준금리,미국(DowJones),미국(NASDAQ),EuroSTOXX,독일(DAX),일본(NIKKEI),싱가포르(STI),홍콩(항셍),중국(SHCOMP),뉴스심리지수,원화자금이체,선행종합지수1),동행종합지수2),설비투자지수,한국소비자물가,중국소비자물가,일본소비자물가,미국소비자물가,한국(KOSPI)
144,9232.8,1182.3,1019.4,1245.5,371101605.0,99.9,96.3,103.4,103.5,76.5,85.5,73.0,72.0,74.0,1.7,2.2,2.2,1.3,19762.6,5383.1,3290.5,11481.1,19114.4,2880.8,22000.6,3103.6,94.3,6651937.5,89.1,94.0,124.3,111.5,117.9,103.8,110.7,2026.5
145,6908.6,1185.1,1029.6,1257.7,374036338.0,101.4,97.4,104.6,105.8,76.5,85.5,74.0,75.0,74.0,1.6,2.1,2.1,1.3,19864.1,5614.8,3230.7,11535.3,19041.3,3046.8,23360.8,3159.2,98.5,6032404.1,89.5,94.6,96.9,112.7,119.2,103.6,111.4,2067.6
146,8166.7,1144.9,1012.8,1219.5,373908551.0,101.7,97.6,103.2,103.5,76.5,85.6,74.0,76.0,73.0,1.7,2.2,2.1,1.3,20812.2,5825.4,3319.6,11834.4,19119.0,3096.6,23740.7,3241.7,98.1,5972352.6,89.9,94.9,99.2,113.0,118.9,103.5,111.7,2091.6
147,5326.2,1134.8,1004.4,1213.1,375302146.0,101.7,97.6,101.8,101.3,76.5,85.6,78.0,79.0,76.0,1.7,2.2,2.2,1.3,20663.2,5911.7,3500.9,12312.9,18909.3,3175.1,24111.6,3222.5,100.7,6720919.5,90.3,95.3,125.5,113.0,118.6,103.5,111.8,2160.2
148,6866.7,1132.7,1029.0,1213.4,376573253.0,101.5,97.4,102.5,101.7,76.5,85.6,80.0,83.0,78.0,1.7,2.2,2.2,1.3,20940.5,6047.6,3559.6,12438.0,19196.7,3175.4,24615.1,3154.7,114.1,6448501.2,90.7,95.5,115.5,112.8,118.6,103.9,112.1,2205.4
149,3163.6,1125.3,1002.9,1245.1,378456235.0,101.2,97.5,101.3,100.3,76.6,85.6,80.0,82.0,79.0,1.7,2.3,2.2,1.3,21008.7,6198.5,3554.6,12615.1,19650.6,3210.8,25660.7,3117.2,115.7,6174774.4,91.1,95.9,123.0,112.9,118.7,104.0,112.2,2347.4
150,5605.0,1130.0,1019.2,1268.8,380568047.0,100.8,97.3,101.0,99.1,76.7,85.7,77.0,78.0,75.0,1.7,2.2,2.2,1.3,21349.6,6140.4,3441.9,12325.1,20033.4,3226.5,25764.6,3192.4,111.4,7137819.8,91.5,96.1,131.9,112.7,118.5,103.9,112.3,2391.8
151,6131.3,1134.4,1008.7,1305.9,383755561.0,100.9,97.5,102.2,99.6,76.9,85.7,78.0,78.0,79.0,1.7,2.3,2.3,1.3,21891.1,6348.1,3449.4,12118.3,19925.2,3329.5,27324.0,3273.0,111.3,6750921.7,91.8,96.3,120.2,112.9,118.4,103.7,112.3,2402.7
152,7060.8,1130.8,1029.7,1336.5,384839045.0,101.4,98.1,102.7,101.1,77.1,85.8,77.0,78.0,75.0,1.8,2.3,2.3,1.3,21948.1,6428.7,3421.5,12055.8,19646.2,3277.3,27970.3,3360.8,96.0,6909821.9,92.2,96.5,114.1,113.5,118.9,103.9,112.6,2363.2
153,9283.9,1131.6,1022.5,1347.9,384673968.0,102.0,98.2,103.9,102.9,77.1,85.8,81.0,83.0,79.0,1.8,2.3,2.3,1.3,22405.1,6496.0,3594.9,12828.9,20356.3,3219.9,27554.3,3348.9,101.3,7078827.2,92.4,96.9,120.3,113.7,119.6,104.2,113.2,2394.5
154,4654.9,1131.6,1001.7,1331.3,384462718.0,102.1,98.1,104.5,103.5,77.2,85.9,78.0,81.0,76.0,2.0,2.5,2.6,1.3,23377.2,6727.7,3674.0,13229.6,22011.6,3374.1,28245.5,3393.3,109.8,5476338.8,92.7,97.0,100.9,113.6,119.8,104.2,113.1,2523.4
155,6777.4,1105.0,978.9,1296.2,387251220.0,102.0,97.3,102.8,103.3,77.3,85.9,80.0,83.0,79.0,2.2,2.5,2.7,1.5,24272.4,6874.0,3569.9,13024.0,22725.0,3433.5,29177.4,3317.2,117.0,7141194.7,92.9,97.4,118.4,112.7,119.8,104.5,113.1,2476.4
156,5286.7,1085.8,961.2,1284.4,389266683.0,102.1,97.7,101.3,102.5,77.4,85.9,81.0,81.0,81.0,2.1,2.5,2.6,1.5,24719.2,6903.4,3504.0,12917.6,22764.9,3402.9,29919.2,3307.2,109.2,6979800.3,93.0,97.2,130.5,113.1,120.1,104.8,113.1,2467.5
157,6354.7,1066.7,960.7,1299.6,395754579.0,102.5,98.1,101.0,103.4,77.6,85.9,78.0,77.0,80.0,2.2,2.6,2.7,1.5,26149.4,7411.5,3609.3,13189.5,23098.3,3534.0,32887.3,3480.8,112.8,7169435.6,93.3,97.5,117.9,113.6,120.9,104.9,113.7,2566.5
158,3869.8,1079.6,998.1,1332.2,394798667.0,103.0,98.9,102.3,103.8,77.7,85.9,77.0,75.0,79.0,2.3,2.8,2.8,1.5,25029.2,7273.0,3439.0,12435.9,22068.2,3517.9,30844.7,3259.4,105.1,6037596.1,93.5,97.8,110.2,114.5,122.4,104.9,114.2,2427.4
159,6136.7,1071.9,1011.0,1322.9,396753590.0,102.9,98.8,100.8,104.4,77.9,85.9,77.0,74.0,79.0,2.3,2.7,2.8,1.5,24103.1,7063.5,3361.5,12096.7,21454.3,3428.0,30093.4,3168.9,103.4,6905071.0,93.8,98.0,128.3,114.3,121.0,104.6,114.5,2445.9
160,6055.6,1067.8,993.5,1311.8,398421500.0,103.0,98.9,101.0,105.5,78.0,85.9,79.0,77.0,80.0,2.2,2.7,2.8,1.5,24163.2,7066.3,3536.5,12612.1,22467.9,3613.9,30808.5,3082.2,105.1,7081915.1,93.8,98.1,118.7,114.5,120.8,104.5,114.9,2515.4
161,8218.6,1076.4,981.3,1271.8,398980563.0,103.3,99.0,102.8,108.6,78.1,85.9,81.0,78.0,84.0,2.3,2.8,2.9,1.5,24415.8,7442.1,3406.7,12604.9,22201.8,3428.2,30468.6,3095.5,105.6,6787254.4,94.1,98.2,118.1,114.6,120.6,104.7,115.4,2423.0
162,5562.2,1092.8,993.3,1275.1,400298586.0,103.4,98.8,103.6,110.0,78.2,85.8,80.0,80.0,80.0,2.2,2.7,2.8,1.5,24271.4,7510.3,3395.6,12306.0,22304.5,3268.7,28955.1,2847.4,101.8,6734058.9,94.3,98.5,115.5,114.4,120.6,104.6,115.6,2326.1
163,6708.3,1122.8,1007.8,1312.0,402447534.0,103.9,98.6,106.1,111.5,78.3,85.8,75.0,74.0,76.0,2.1,2.5,2.8,1.5,25415.2,7671.8,3525.5,12805.5,22553.7,3319.9,28583.0,2876.4,91.4,7426721.1,94.5,98.6,109.7,114.1,120.9,104.6,115.6,2295.3
164,9339.6,1121.2,1009.8,1296.1,401131047.0,104.3,99.5,106.1,111.2,78.5,85.8,74.0,73.0,74.0,2.0,2.5,2.7,1.5,25964.8,8109.5,3392.9,12364.1,22865.2,3213.5,27888.6,2725.3,96.4,7173348.0,94.5,98.6,103.3,115.2,121.7,105.3,115.6,2322.9
165,8180.6,1120.6,1002.8,1304.7,402999746.0,104.6,100.2,106.3,113.0,79.2,85.9,75.0,73.0,76.0,2.0,2.3,2.4,1.5,26458.3,8046.4,3399.2,12246.7,24120.0,3257.1,27788.5,2821.4,101.1,5974287.2,94.6,98.5,97.6,116.0,122.5,105.4,115.8,2343.1
166,7270.2,1130.8,1003.0,1299.6,402747935.0,104.3,100.0,106.8,115.0,79.7,86.0,73.0,71.0,76.0,2.0,2.3,2.5,1.5,25115.8,7305.9,3197.5,11447.5,21920.5,3018.8,24979.7,2602.8,87.4,7378457.3,94.6,98.5,107.2,115.8,122.7,105.7,116.0,2029.7
167,4393.7,1128.6,996.0,1282.4,402987219.0,103.5,99.3,103.5,109.4,79.8,86.0,74.0,73.0,74.0,1.9,2.2,2.4,1.8,25538.5,7330.5,3173.1,11257.2,22351.1,3117.6,26506.8,2588.2,93.8,7465356.6,94.6,98.5,105.6,115.0,122.3,105.5,115.6,2096.9
168,5376.9,1122.9,999.2,1277.0,403694264.0,103.0,99.0,100.6,105.3,79.9,86.0,72.0,71.0,73.0,1.8,2.0,2.3,1.8,23327.5,6635.3,3001.4,10559.0,20014.8,3068.8,25845.7,2493.9,92.5,7341960.4,94.7,98.6,112.5,114.6,122.4,105.2,115.2,2041.0
169,6676.4,1122.0,1030.5,1281.5,405513163.0,102.9,98.9,99.2,105.1,79.9,86.0,69.0,67.0,71.0,1.8,2.0,2.3,1.8,24999.7,7281.7,3159.4,11173.1,20773.5,3190.2,27942.5,2584.6,97.4,7606310.3,94.8,99.0,100.2,114.5,123.0,105.2,115.4,2204.9
170,2318.2,1122.5,1016.5,1272.5,404673960.0,103.0,99.3,99.7,107.5,79.8,85.8,69.0,69.0,70.0,1.8,2.0,2.2,1.8,25916.0,7532.5,3298.3,11515.6,21385.2,3212.7,28633.2,2941.0,96.0,5866604.8,95.0,98.7,82.7,115.0,124.2,105.2,115.9,2195.4
171,4398.7,1130.7,1017.4,1278.5,405252892.0,103.4,99.1,99.8,109.3,79.7,85.7,73.0,73.0,73.0,1.8,2.0,2.2,1.8,25928.7,7729.3,3351.7,11526.0,21205.8,3212.9,29051.4,3090.8,95.9,7193812.5,95.3,98.8,109.0,114.8,123.8,105.2,116.6,2140.7
172,4130.1,1141.0,1021.9,1281.8,404029052.0,103.7,99.5,100.5,111.2,79.6,85.6,74.0,75.0,74.0,1.7,1.9,2.2,1.8,26592.9,8095.4,3514.6,12344.1,22258.7,3400.2,29699.1,3078.3,101.7,8005998.1,95.6,98.8,113.6,115.2,123.9,105.5,117.2,2203.6
173,5429.9,1183.3,1075.9,1323.7,401972476.0,103.8,99.7,103.1,113.6,79.6,85.5,73.0,76.0,71.0,1.7,1.8,2.2,1.8,24815.0,7453.2,3280.4,11726.8,20601.2,3117.8,26901.1,2898.7,94.9,7646214.3,95.7,99.3,108.6,115.4,123.9,105.5,117.4,2041.7
174,3950.0,1175.6,1087.7,1327.3,403071937.0,103.5,99.5,100.8,109.4,79.5,85.4,74.0,75.0,74.0,1.5,1.6,2.0,1.8,26600.0,8006.2,3473.7,12398.8,21275.9,3321.6,28542.6,2978.9,95.0,7156551.6,95.7,99.5,107.8,115.2,123.8,105.3,117.5,2130.6
175,5522.1,1175.3,1085.9,1319.4,403112528.0,103.5,99.2,100.4,110.2,79.5,85.3,73.0,73.0,72.0,1.4,1.5,1.9,1.5,26864.3,8175.4,3466.9,12189.0,21521.5,3300.8,27777.8,2932.5,89.6,8200643.4,95.8,99.7,107.7,114.8,124.2,105.3,117.7,2024.6
176,5770.4,1209.0,1137.5,1345.6,401483478.0,103.7,99.4,101.8,111.0,79.5,85.3,69.0,68.0,70.0,1.2,1.3,1.7,1.5,26403.3,7962.9,3426.8,11939.3,20704.4,3106.5,25724.7,2886.2,83.5,7708830.0,95.9,100.0,102.0,115.1,125.2,105.5,117.7,1967.8
177,5033.4,1197.6,1115.7,1318.5,403320096.0,103.8,99.8,101.0,110.7,79.6,85.3,72.0,71.0,72.0,1.3,1.4,1.8,1.5,26916.8,7999.3,3569.5,12428.1,21755.8,3120.0,26092.3,2905.2,95.3,7263623.6,96.3,100.3,97.4,115.5,126.2,105.6,117.8,2063.1
178,6618.0,1184.1,1094.2,1309.0,406323989.0,103.6,100.0,98.9,108.1,79.7,85.4,73.0,72.0,74.0,1.4,1.6,1.9,1.3,27046.2,8292.4,3604.4,12866.8,22927.0,3229.9,26906.7,2929.1,93.0,8018838.0,96.8,100.5,106.9,115.8,127.3,105.9,118.0,2083.5
179,5444.7,1167.5,1072.9,1290.6,407460269.0,103.4,99.5,96.7,107.1,79.8,85.4,74.0,74.0,75.0,1.5,1.8,2.0,1.3,28051.4,8665.5,3703.6,13236.4,23293.9,3193.9,26346.5,2872.0,104.0,8104711.6,97.4,100.5,107.4,115.2,127.8,106.0,118.0,2088.0
180,4384.4,1175.8,1077.2,1306.3,408816146.0,103.7,99.7,97.4,108.8,80.1,85.6,76.0,74.0,78.0,1.4,1.7,1.9,1.3,28538.4,8972.6,3745.2,13249.0,23656.6,3222.8,28189.8,3050.1,105.6,8598158.5,98.0,101.1,125.7,115.5,127.8,106.0,117.9,2197.7
181,4356.0,1164.3,1065.3,1293.7,409652586.0,104.1,100.1,96.8,107.9,80.3,85.7,75.0,76.0,73.0,1.4,1.7,2.0,1.3,28256.0,9150.9,3640.9,12982.0,23205.2,3153.7,26312.6,2976.5,102.0,8051022.8,98.3,101.4,97.8,115.9,129.6,106.0,118.3,2119.0
182,5581.5,1193.8,1085.0,1302.3,409171436.0,103.7,100.2,97.6,106.4,80.6,85.9,65.0,65.0,64.0,1.3,1.5,1.8,1.3,25409.4,8567.4,3329.5,11890.4,21143.0,3011.1,26129.9,2880.3,82.0,7906007.3,98.6,101.0,96.4,116.0,130.7,105.8,118.6,1987.0
183,6529.6,1220.1,1134.8,1350.4,400214398.0,102.8,99.9,96.1,100.7,81.1,86.0,54.0,56.0,53.0,1.1,1.5,1.8,0.8,21917.2,7700.1,2786.9,9935.8,18917.0,2481.2,23603.5,2750.3,71.2,9269856.0,98.4,100.1,120.7,115.7,129.1,105.8,118.4,1754.6
184,-1076.5,1225.2,1135.3,1331.7,403982333.0,101.9,99.5,94.0,95.0,81.3,86.1,51.0,52.0,50.0,1.0,1.5,2.1,0.8,24633.9,8914.7,2996.1,11107.7,19771.2,2574.7,24643.6,2822.4,80.4,8611922.8,98.5,99.2,115.4,115.2,127.9,105.7,117.6,1947.6
185,1621.3,1228.7,1145.7,1338.7,407310604.0,102.0,99.4,94.5,98.8,81.4,86.1,53.0,49.0,56.0,0.9,1.4,2.2,0.5,25383.1,9489.9,3050.2,11586.9,21877.9,2510.8,22961.5,2852.4,90.4,7988371.8,98.5,98.3,111.3,115.1,126.9,105.6,117.6,2029.6
186,5759.6,1210.0,1124.7,1361.8,410754278.0,102.5,99.7,95.0,101.3,81.8,86.4,56.0,51.0,60.0,0.9,1.4,2.2,0.5,25812.9,10058.8,3234.1,12310.9,22288.1,2589.9,24427.2,2984.7,98.8,9116289.5,99.1,98.5,122.1,115.4,126.9,105.4,118.2,2108.3
187,6551.9,1198.9,1122.4,1373.0,416525863.0,102.7,99.6,95.1,100.4,82.5,86.8,62.0,59.0,65.0,0.8,1.4,2.2,0.5,26428.3,10745.3,3174.3,12313.4,21710.0,2529.8,24595.4,3310.0,106.0,8966197.4,99.7,98.8,115.7,115.4,126.4,105.5,118.8,2249.4
188,6064.5,1186.9,1119.5,1403.4,418950799.0,103.2,100.2,95.0,99.3,83.1,87.2,66.0,66.0,66.0,0.8,1.4,2.2,0.5,28430.1,11775.5,3272.5,12945.4,23139.8,2532.5,25177.1,3395.7,99.5,8024903.0,100.5,99.4,100.2,116.0,128.1,105.6,119.2,2326.2
189,6318.6,1178.8,1116.0,1391.0,420545100.0,103.4,100.7,95.0,98.2,83.8,88.0,64.0,68.0,62.0,0.9,1.5,2.2,0.5,27452.7,11085.3,3214.3,12825.8,23539.1,2471.6,23275.5,3224.4,99.4,8860923.9,101.1,100.0,114.9,116.6,128.4,105.4,119.4,2327.9
190,13843.1,1144.7,1088.1,1347.6,426509822.0,103.0,100.2,92.7,96.1,84.4,88.7,74.0,79.0,69.0,0.9,1.5,2.2,0.5,26501.6,10911.6,2958.2,11556.5,22977.1,2423.8,24107.4,3224.5,104.8,8658569.4,101.7,100.6,104.9,116.0,128.0,105.3,119.4,2267.2
191,8445.6,1116.8,1069.4,1320.7,436377224.0,103.1,100.1,92.3,96.1,85.6,90.2,78.0,85.0,73.0,1.0,1.6,2.2,0.5,29638.6,12198.7,3492.5,13291.2,26433.6,2806.0,26341.5,3391.8,112.7,9656144.2,102.5,101.3,112.3,115.9,127.2,104.9,119.3,2591.3
192,11906.4,1095.1,1054.8,1331.8,443098121.0,103.9,100.3,92.8,98.0,86.7,91.2,75.0,82.0,68.0,1.0,1.7,2.2,0.5,30606.5,12888.3,3552.6,13718.8,27444.2,2843.8,27231.1,3473.1,113.4,10354240.3,103.1,101.4,132.8,116.2,128.1,104.7,119.5,2873.5
193,8992.9,1097.5,1058.5,1336.3,442727709.0,105.1,101.0,94.9,101.6,87.8,91.9,77.0,85.0,70.0,1.0,1.7,2.1,0.5,29982.6,13070.7,3481.4,13432.9,27663.4,2902.5,28283.7,3483.1,114.0,9362498.2,103.8,101.4,117.6,117.0,129.3,105.3,120.0,2976.2
194,7360.9,1111.7,1055.1,1344.6,447557482.0,105.9,101.6,98.2,106.1,89.0,92.6,76.0,82.0,72.0,1.0,1.8,2.1,0.5,30932.4,13192.4,3636.4,13786.3,28966.0,2949.0,28980.2,3509.1,107.1,8374669.5,104.3,101.7,103.9,117.6,130.1,105.3,120.6,3013.0
195,7692.6,1131.0,1040.9,1346.7,446127385.0,107.0,101.8,101.8,109.8,90.1,93.3,83.0,89.0,77.0,1.1,2.0,2.1,0.5,32981.6,13246.9,3919.2,15008.3,29178.8,3165.3,28378.4,3441.9,114.1,10562202.7,104.9,102.5,132.4,117.9,129.5,105.4,121.5,3061.4
196,6945.8,1119.4,1026.0,1338.5,452309658.0,108.1,102.0,104.5,109.6,91.1,93.8,88.0,96.0,82.0,1.1,2.0,2.0,0.5,33874.9,13962.7,3974.7,15135.9,28812.6,3218.3,28724.9,3446.9,119.4,10888564.7,105.6,103.5,135.0,118.1,129.1,104.5,122.5,3147.9
197,9934.5,1123.3,1029.1,1363.9,456458881.0,108.7,102.1,106.4,112.8,92.0,94.4,88.0,96.0,81.0,1.1,2.1,1.9,0.5,34529.5,13748.7,4039.5,15421.1,28860.1,3164.3,29151.8,3615.5,115.5,9110842.1,106.4,103.8,124.3,118.2,129.0,104.8,123.5,3203.9
198,8304.0,1121.3,1018.5,1351.9,454105865.0,109.2,102.1,107.4,115.9,93.2,95.2,88.0,98.0,81.0,1.3,2.1,1.9,0.5,34502.5,14504.0,4064.3,15531.0,28791.5,3130.5,28828.0,3591.2,118.4,10692182.3,107.0,103.8,135.6,118.2,128.5,104.9,124.6,3296.7
199,6564.5,1144.0,1037.3,1352.7,458680900.0,110.3,102.3,111.6,120.1,94.3,96.1,87.0,97.0,79.0,1.4,2.0,1.9,0.5,34935.5,14672.7,4089.3,15544.4,27283.6,3166.9,25961.0,3397.4,117.3,10766237.4,107.2,104.0,128.6,118.4,128.8,105.2,125.2,3202.3
200,6071.9,1160.3,1056.3,1365.6,463933550.0,110.9,102.8,113.0,121.6,95.7,97.0,87.0,95.0,81.0,1.4,1.9,1.8,0.8,35360.7,15259.2,4196.4,15835.1,28089.5,3055.1,25879.0,3543.9,109.8,10600569.1,107.2,104.1,113.5,119.0,129.0,105.2,125.5,3199.3
201,6524.7,1169.5,1061.2,1378.2,463972259.0,111.3,103.2,114.4,124.4,97.1,98.0,84.0,90.0,79.0,1.5,2.1,2.0,0.8,33843.9,14448.6,4048.1,15260.7,29452.7,3086.7,24575.6,3568.2,106.4,9739652.6,107.1,104.3,109.2,119.5,129.0,105.6,125.8,3068.8
202,4621.4,1182.8,1044.9,1372.2,469207742.0,112.4,103.4,116.9,130.9,98.1,98.6,86.0,90.0,84.0,1.8,2.4,2.3,0.8,35819.6,15498.4,4250.6,15688.8,28892.7,3198.2,25377.2,3547.3,104.4,9326308.8,107.0,104.8,108.1,119.7,129.9,105.4,126.8,2970.7
203,5902.1,1182.9,1036.4,1350.4,463907617.0,113.2,103.9,115.8,129.6,99.2,99.3,86.0,90.0,83.0,2.0,2.4,2.5,1.0,34483.7,15537.7,4063.1,15100.1,27821.8,3041.3,23475.3,3563.9,110.8,10622342.1,107.0,105.3,122.2,120.3,130.4,105.6,127.5,2839.0
204,6313.2,1183.7,1039.5,1338.2,463118362.0,113.2,104.0,114.4,127.0,99.7,99.7,87.0,95.0,82.0,1.8,2.2,2.4,1.0,36338.3,15645.0,4298.4,15884.9,28791.7,3123.7,23397.7,3639.8,111.5,11588114.4,107.2,106.2,141.4,120.5,130.0,105.6,127.9,2977.7
205,6527.8,1194.0,1039.6,1353.2,461526656.0,114.4,104.7,115.8,132.7,100.0,100.0,86.0,90.0,83.0,2.1,2.5,2.6,1.3,35131.9,14239.9,4174.6,15471.2,27002.0,3249.6,23802.3,3361.4,103.3,10794012.8,107.6,107.0,117.8,121.2,130.6,105.8,128.9,2663.3
206,6374.3,1198.3,1039.9,1359.9,461766293.0,115.0,105.3,118.3,138.7,100.2,100.2,85.0,91.0,81.0,2.3,2.7,2.9,1.3,33892.6,13751.4,3924.2,14461.0,26526.8,3242.2,22713.0,3462.3,103.7,9218144.1,107.7,107.5,106.4,121.9,131.4,106.2,130.1,2699.2
207,7126.1,1221.0,1028.6,1345.3,457810337.0,116.7,106.1,125.6,149.2,100.3,100.3,83.0,84.0,81.0,2.4,2.8,3.0,1.3,34678.4,14220.5,3902.5,14414.8,27821.4,3408.5,21996.9,3252.2,103.6,10928215.9,107.7,107.7,125.3,122.8,131.4,106.6,131.9,2757.7
208,5887.9,1232.3,977.4,1334.1,449297713.0,118.6,106.9,127.5,148.4,100.5,100.5,86.0,87.0,85.0,2.9,3.2,3.6,1.5,32977.2,12334.6,3802.9,14097.9,26847.9,3356.9,21089.4,3047.1,104.7,11127400.8,108.0,107.6,119.3,123.7,131.9,107.1,132.6,2695.1
209,3861.4,1269.9,985.5,1342.4,447711119.0,119.4,107.6,131.3,154.0,100.8,100.8,86.0,86.0,86.0,3.0,3.3,3.8,1.8,32990.1,12081.4,3789.2,14388.4,27279.8,3232.5,21415.2,3186.4,103.2,11176379.6,108.5,107.8,131.1,124.5,131.7,107.4,134.1,2685.9
210,2073.9,1277.4,951.3,1349.0,438278346.0,120.1,108.2,132.6,154.9,100.9,100.9,82.0,83.0,82.0,3.5,3.6,4.2,1.8,30775.4,11028.7,3454.9,12783.8,26393.0,3102.2,21859.8,3398.6,84.6,10658938.6,108.9,108.0,135.1,125.3,131.7,107.4,135.9,2332.6
211,-460.0,1307.4,955.9,1332.9,438605367.0,120.4,108.7,129.4,150.8,100.9,101.0,80.0,80.0,80.0,3.2,3.3,4.1,2.3,32845.1,12390.7,3708.1,13484.1,27801.6,3211.6,20156.5,3253.2,91.4,10735644.3,109.0,108.5,126.3,125.9,132.3,107.9,135.9,2451.5
212,-1852.6,1318.4,975.2,1334.5,436432145.0,120.0,108.6,127.6,149.5,100.7,100.9,81.0,80.0,82.0,3.2,3.3,4.2,2.5,31510.4,11816.2,3517.3,12835.0,28091.5,3221.7,19954.4,3202.1,97.9,11083175.9,109.1,109.1,129.2,125.8,132.2,108.3,135.8,2472.1
213,-468.8,1391.6,973.2,1377.1,416766652.0,120.1,108.9,131.2,154.5,100.6,100.8,78.0,74.0,81.0,3.9,3.9,4.9,2.5,28725.5,10575.6,3318.2,12114.4,25937.2,3130.2,17222.8,3024.4,86.1,10410008.6,109.3,109.3,122.3,126.1,132.6,108.7,136.1,2155.5
214,-931.3,1426.7,969.4,1404.8,414005699.0,120.7,109.2,132.7,156.3,100.0,100.3,76.0,72.0,79.0,4.2,4.3,5.4,3.0,32733.0,10988.2,3617.5,13253.7,27587.5,3093.1,14687.0,2893.5,80.2,9918059.3,109.5,109.3,126.1,126.4,132.7,109.4,136.7,2293.6
215,-591.2,1364.1,956.5,1388.3,416104905.0,120.3,109.1,125.5,147.7,98.9,98.8,75.0,74.0,76.0,3.9,3.9,5.5,3.3,34589.8,11468.0,3964.7,14397.0,27969.0,3290.5,18597.2,3151.3,88.5,11328163.7,109.6,108.9,135.3,126.3,132.4,109.6,136.5,2472.5
216,2283.0,1296.2,959.1,1371.1,423163664.0,119.8,109.3,117.8,138.1,97.9,97.3,74.0,71.0,76.0,3.6,3.5,5.3,3.3,33147.3,10466.5,3793.6,13923.6,26094.5,3251.3,19781.4,3089.3,83.4,12131558.9,109.4,108.4,145.9,126.5,132.3,109.8,136.1,2236.4
217,594.3,1247.3,956.8,1342.4,429967671.0,120.3,110.1,114.4,135.2,96.6,95.4,69.0,66.0,71.0,3.5,3.4,4.7,3.5,34086.0,11584.6,4163.5,15128.3,27327.1,3365.7,21842.3,3255.7,93.8,10963234.5,109.4,108.2,109.1,127.5,133.3,110.4,137.2,2425.1
218,657.7,1270.7,956.7,1361.7,425286150.0,120.5,110.4,115.3,137.8,95.8,94.0,69.0,63.0,73.0,3.5,3.5,4.3,3.5,32656.7,11455.5,4238.4,15365.1,27445.6,3262.6,19785.9,3279.6,97.5,10973942.7,109.3,108.8,110.8,127.8,132.7,109.7,138.0,2412.9
219,1567.7,1305.7,977.3,1398.5,426069328.0,120.6,110.6,117.8,138.9,95.1,93.1,72.0,70.0,74.0,3.5,3.4,4.2,3.5,33274.2,12221.9,4315.1,15628.8,28041.5,3258.9,20400.1,3272.9,94.2,12041467.9,109.3,109.6,127.6,128.0,132.3,110.1,138.4,2476.9
